id,text_ko,text_en
3044,괜찮은 소재인데... 보는건 정말 시간 아까운 영화... ㄷㄷㄷ보고 나면 걍 화만 남... 내가 이걸 왜 봤을까 하고 ㅋ,Decent premise... but watching it is a genuine waste of time... ㄷㄷㄷ you finish it just angry ㅋ wondering why you watched at all.
3063,좀비물을 좋아하는 이들을 위한 영화!아류작이란 이름이 무안하다!,A movie for people who love zombie flicks! Calling it a knock-off would be unfair!
3114,이런 유쾌한 캐릭터무비 굿,A delightful character movie like this — good.
3562,돈이아깝네요. 평점이꽤높길래가서 봤더니재밌는부분도없고그닥추천할영화는아니네요.,"Waste of money. Came for the high rating, but there's nothing fun here and not much to recommend."
3598,개노잼..차라리 아놀드행님 토탈리콜이 더 꿀잼,Mega zero-fun.. honestly big bro Arnold's Total Recall is more fun.
3812,ㅋㅋㅋㅋㅋㅋㅋㅋ마지막에로봇덩실덩실춤추면서자살한게최고,ㅋㅋㅋㅋ the robot doing a happy little dance and then self-destructing at the end was the highlight
3871,여군 특집 대박~!!남자인 내가 보는데 왜 눈물이 나지...대박이에요..아 대박입니다~!!맹승지 후보생 힘내시길...화이팅,"The female-soldier special is daebak~!! I'm a man, so why am I tearing up... daebak.. truly daebak~!! Cadet Maeng Seung-ji, stay strong... fighting!"
3878,중심플롯자체가니모를찾아서라는 픽사의걸작애니를 차용하고 있는 아주 뻔뻔한 졸작.,"A shameless dud that lifts its central plot straight from Finding Nemo, Pixar's masterpiece."
3945,관객 100만명을 기대한다. 예전에 향수가 듬뿍 묻어나는 만화,Hoping for a million viewers. A comic dripping with nostalgia.
3978,아 이건뭐 재미도 없고 감동도 없고 심지어 신기하지도 않아ㅋㅋ,"So there's no fun, no feels, and it isn't even interesting ㅋㅋ"
4396,여자의 사정이란 특이한 소재를 통해,An unusual premise — a woman's side of the story.
4427,ㅋㅋㅋ너무재미있다.,ㅋㅋㅋ so much fun.
4472,평점너무낮네요 전정말잘봤습니다 남성분들보단여성분들께추천 잔잔한여운오래남을듯,Rating's way too low. I loved it. Recommended for women more than men — the quiet afterglow stays with you.
4481,평점이 좋아 보게됐네요중력의 소중함을 알게해준 영화!땅을밟고 다니고 숨을쉴수 있다는게 얼마나 감사한지 느끼게 해주는 영화!인터스텔라보다 갠적으로 이영화가 더 좋음,"Came for the rating. A film that teaches you gravity is precious! Walking on land, breathing — suddenly you're thankful! Personally liked it more than Interstellar."
4610,나 처음으로 평점 줘보는대 네이버 평점 믿지마라 진짜 잘만들엇다 몰입도 최강 연기최고! 무슨 고어약간만 나오면 다 평점이 낮아 피나오면 쓰레기영화냐?,"First rating I've ever left: don't trust Naver scores, this is seriously well made. Total immersion, top acting! A little gore and everyone tanks the score — blood means garbage now?"
4796,진짜 쓰레기다. 참신하지도 않고 재밌지도 않고 연기도 개발들이고 별하나도 아깝다.,"Genuine garbage. Not fresh, not fun, the acting is awful — it doesn't deserve a single star."
4878,피노키오로 갈아타요어서 진짜 꿀잼임♥,"Switch over to Pinocchio, quick — that one's pure fun ♥"
5136,볼만한영화ㅋ최악은아님ㅋ심심할때보세요ㅋ니콜키드먼..최고..,Watchable ㅋ not the worst ㅋ for a bored evening ㅋ Nicole Kidman.. the best..
5394,뭔내용이야 이게 ㅋㅋㅋ,What even is this plot ㅋㅋㅋ
5496,엄청 재미있엇습니다. 특히 제이슨과 프레디가 싸우는장면들이 ㅋㅋ,Really fun. Especially the Jason vs Freddy fights ㅋㅋ
5542,뚝뚝 끊어지는 흐름과 뜬금없는 스토리+충격적인마지막씬 슬프려고 애쓴 티는 나는데 그냥 웃겼다 근래 본 가장 웃긴 영화,"Choppy flow, random story + that shock ending. You can tell it's straining to be sad, but I just laughed — funniest film I've seen in ages."
5738,잔잔한 영화 좋아하는사람들은 꼭 보세요 마지막 살짝 반전도있음,"If you like quiet films, watch this. Small twist at the end too."
5859,유치함과 지루함의 완벽한 조화.,A perfect harmony of childish and boring.
6418,재밌음 지루할틈이 없는영화..참리얼하다 캐릭들이 짜증나는면이있긴해도..,"Fun, never a dull moment.. and so real. Even if the characters get on your nerves."
6475,솔직히 별 여운이 없네요...전문가용 영화인듯,"Honestly, no afterglow... a film for critics, I guess."
6647,브루스윌리스가다시나올꺼야다시나올꺼야하며기대를가지며보지만끝까지나오지않는희망고문영화,"A hope-torture movie: you keep waiting for Bruce Willis to come back, and he never does."
6846,솔직히 개노잼 ㅋㅋㅋ 평론가 선비들 노답,"Honestly mega zero-fun ㅋㅋㅋ critics are such snobs, hopeless."
6858,나의 것들을 보는 듯한 느낌. 최고의 영화.,Like watching my own life. The best film.
7236,사랑하는 사람이라면 사랑하고픈 사람이라면 꼭 꼭 꼭 강추,"If you love someone — or want to — watch this. Must must must, strongly recommended."
7296,감동적 ㅋㅋ,Moving ㅋㅋ
7399,진짜 말이 필요 없음ㄷㄷ;;: 걍 명작임 ㅠㅠ♥제임스완♥,No words needed ㄷㄷ;;: just a masterpiece ㅠㅠ ♥James Wan♥
7400,당시 노스트라다무스의 지구멸망설 때문에 아마겟돈과 함께 흥미롭게봤던영화였는데 세월이 많이 흘렀어도 명작이다.,"Watched this during the Nostradamus end-of-the-world craze, alongside Armageddon. All these years later it's still a classic."
7455,우울할때봤는데 보는내내 웃겨죽는줄알았고 영화를 다보고나니 우울한감정이 사라지고 해피바이러스로 가득찬느낌♡,"Watched it feeling down — laughed myself silly the whole way, and when it ended the gloom was gone, like I'd been filled with happy-virus ♡"
7512,나 미안한데 이영화 10점 줘야겠다 처음부터 엔딩까지 정말 지루할 틈을 안주는 영화는 머리털나고 이게 첨이다. 헐 대박!!!,"Okay sorry but this gets a 10. First movie in my whole life that never once let me get bored, start to finish. 헐 daebak!!"
7516,헐리웃도 이런 허접한 영화 찍는구나..ㅎ 기대했었는데 너~~무 엉성해..,"So Hollywood makes shoddy movies like this too..ㅎ I had hopes, but it's so~~ flimsy.."
7600,어이없는 영화들 많은데 차라리 이걸 여러번 보는게 나을듯,There are so many ridiculous movies out there — better to just rewatch this one several times.
7664,다행히 12세관람가라고 나와있어서 평점을 줄 수가 있네요.ㅎㅎ 제임스 카메론의 <터미네이터2>이후 또다른 위대한 속편입니다!,"Thankfully it's rated 12+, so I'm allowed to rate it.ㅎㅎ The other great sequel, after James Cameron's Terminator 2!"
7747,기대이상의 평범치않은 인질극. 전개도 마음에 든다.,A hostage drama that's anything but ordinary. The pacing works for me too.
7819,이거에 비하면 1편은 꿀잼이었구나 진짜 긴장감도 없고 옛날식 액션 C급영화다,"Compared to this, part 1 was a joy. No tension at all — an old-school C-grade action flick."
7820,색감은 최고인데 동선연출이 너무 부족하다.액션도 영 아니올시다,"The color palette is gorgeous, but the action staging is weak. The fights? No sir."
7944,왜 슈렉영화는 점점 기대이하가 되는지...,Why do the Shrek movies keep sliding below expectations...
8128,강추합니다. 한번 봐서 결말 이해가 조금 안될수도 있는데 그러면 두번 보시길 강추합니다. 이해간 순간 소름돋는 감동을 느끼실 수 있습니다.,"Strongly recommend. If the ending doesn't click the first time, watch it twice — the moment it lands, you'll feel goosebump-level awe."
8331,1편의 흥행을 재현하려 했으나 2편을 재현한 졸작,"Tried to repeat the success of part 1, and repeated part 2 instead. A dud."
8381,ㅋㅋㅋ왜 기억을 없애냐고 ㅠㅠ 아 사랑이뤄지길바럤는데,"ㅋㅋㅋ why erase the memories ㅠㅠ ah, I wanted that love to work out."
8625,믿고 안보는 조니뎁. 진짜 시간낭비.,"Johnny Depp, the actor I trust... to skip. Genuine waste of time."
8774,진짜 진영신우산들바로공찬대박B1A4♥ 어느멋진날흥해라,Jinyoung Shinwoo Sandeul Baro Gongchan — daebak B1A4 ♥ may One Fine Day blow up.
8869,풋풋하고 어여쁜 이야기가 보여서 딸내미랑 가슴설레며 봤지요~~,"Such a sweet, pretty story — watched it heart-aflutter with my daughter~~"
8918,뻔하구 어이없는 만화같은 코믹설정에 비웃음과 약간의 웃음이 섞여서 그런대로 쬐금 볼만했으나 그냥 쉽게쉽게 막싸지른 발영화 그이상 그이하도아님.,"Predictable, ridiculous, cartoonish comedy setup — a few laughs mixed with smirks, so it was juust about watchable, but really just a sloppily flung-together flop. Nothing more, nothing less."
9078,대박실망.감독님들과 배우분들의 이름이 아깝다.,Daebak disappointment. The directors' and actors' names deserve better.
9175,"걸작 영상시..,,.","A masterpiece. Visual poetry..,,."
9246,"스파이더맨4 제작이 무산되면서 아이언맨이 떴는데, 원래 스파이더맨이 히어로 무비에 붐을 일으켰음. 너무 좋아 스파이더맨~ 어메이징은 그닥...","Spider-Man 4 got canceled and Iron Man took off — but Spider-Man started the superhero boom. Love you Spider-Man~ Amazing, not so much..."
9516,"아이들을 위한 영화인데, 재미있다! 유치하지만 코믹하고 감동도 있다!","It's a kids' movie — and it's fun! Childish but comic, with some real feeling!"
9869,내네네네 좋어요좋아요 꿀잼,"Yes yes yes, love it love it, pure fun."
9873,언제봐도 명작이다. 이따금 시간날 때마다 다시 보곤한다.,A classic no matter when you watch. I rewatch it whenever I have time.
9925,오그라든다고생각했는데울었다상처는사라질수없지만포기하지않을수있고위로받을수있다,"Thought it'd be cringey — then I cried. Wounds don't disappear, but you can refuse to give up, and you can be comforted."
10139,얼굴을 통해 백성들의 마음을 읽는 이야기 역사적으로 폄하되었던 광해라는 인물을 재조명하는 드라마가 될 것 같아 완전 기대중이예요 왕의 얼굴 화이팅,"Reading the people's hearts through their faces — finally a drama that rehabilitates Gwanghae. Big expectations. The King's Face, fighting!"
10148,부모가 너무하다.. 애니란게 따뜻한면이 잇어야하는데 이건 감동두없음,"The parents are too much.. An animation should have some warmth, and this has none."
10173,두근두근 넘넘 재밌어요.^^ㅋ//로미오멋있옹~,"Heart going pit-a-pat, so so fun ^^ㅋ // Romeo is gorgeous~"
10281,톰크루즈와 더스틴호프만 두 배우의 연기는 연기라고 느껴지지 않을만큼 완벽한 영화!!!,Tom Cruise and Dustin Hoffman — acting so complete it stops feeling like acting!!!
10410,나락의 끝을 보여준 최악의 인생을 그린 최고의 로드무비 ! !,"The best road movie about the worst life, all the way to rock bottom!!"
10437,이 형편없는 영화를 보면서 왜 이리 눈물이 나는지...,Why did this hopeless movie make me cry like this...
10619,극 노잼 완전 음악성은 찾아볼수 없을 뿐더러 재미 감동도 없는 영화,"Extreme zero-fun. No trace of musicality, no fun, no feeling."
10829,"솔직히 박시연씨 때문에 찾아서봤는데 예쁜건두말할나위없고, 마지막에 먹먹함에 울면서봤어요..ㅠ진부한 삼류 사랑이야기라고하는데재밌게봤어요!","Honestly I looked it up for Park Si-yeon — beautiful, obviously — and then the ending wrecked me, watched it crying..ㅠ People call it a clichéd third-rate love story, but I loved it!"
10847,성룡의 헐리웃작 중 단연 최고지 ㅋㅋㅋ,Easily Jackie Chan's best Hollywood film ㅋㅋㅋ
11074,역시신동엽ㅋ순간 캐치 탁!얄밉게 웃긴 미워할수없고감탄!이영자랑 함 대박일텐데 왠이동욱?,"Classic Shin Dong-yup ㅋ catches the moment — slyly funny, impossible to hate, bravo! He'd be daebak with Lee Young-ja, so why Lee Dong-wook?"
11125,어릴때 재밌게봤는데 지금봐도 꿀잼인듯,"Loved it as a kid, still pure fun now."
11286,ㅎㄷㄷ 난십점 에헤 ~,"ㅎㄷㄷ I'm giving a ten, so there ~"
11424,반담영화 중 진정한 수작.. 반담의 우수에 찬 긴 속눈썹이 너무나 매력적이었던 영화,"A true gem among Van Damme films.. those long, melancholy eyelashes of his were irresistible."
11436,"독특한 내용에, 웃기게 풀어낸 영화인듯 하다","Odd story, told funny."
11590,이런영화가 있어 행복하다 배우들 세심한 심리가 그대로 전해져온다,I'm happy a film like this exists. Every delicate feeling of the actors comes straight through.
11608,선생님께서 보여주셧는데 그 선생님에게 깊은 존경을 느꼇습니다. 선생님의 영화선택능력에 오늘도 감명받고갑니다. 어,Our teacher showed us this — and I felt a deep respect for her. Inspired once again by her taste in films. Yeah.
11689,개꿀잼 코리아 맨인블랙,Pure-fun Korean Men in Black.
12088,이영화가1점이면 다른영환 0콤마이하 소숫점 놀이겟군 이영화를 위대한 걸작이라하오,"If this is a 1, every other movie is decimal-point territory. I declare this a great masterpiece."
12097,지죤ㅋㅋ 할말을 잃었다,'The GOAT' ㅋㅋ I have no words.
12191,다필요없다 이건 감독이문제다 최근엔 증명하듯이 조선미녀삼총사라는 걸작을....ㄷㄷㄷ 다시는 영화투자못받으시길...감독이라불리기 아까울정도...,"Forget everything else, the problem is the director. As if to prove it, he then gave us that masterpiece 'The Huntresses'....ㄷㄷㄷ May he never get funding again... 'director' is too kind a word..."
12315,너무나 인상적인..ㄷㄷㄷ,So vivid it hurts..ㄷㄷㄷ
12397,'나이'에 대한 편견과 환상에 대한 속깊은 통찰,A genuinely deep look at our prejudices — and fantasies — about age.
12420,사랑하는 사람들과 아이들을 남겨놓고 가는 슬픔이란??,The grief of leaving your loved ones and children behind??
12653,"스타일리쉬하면서도 적당히 절제된 액션, 주인공의 카리스마 최고다",Stylish yet nicely restrained action; the lead's charisma is unmatched.
12697,"사랑, 그리고 결혼의 의미를 생각케 하는 드라마. 파이퍼의 연기도 압권.",A drama that makes you think about love — and what marriage means. Pfeiffer is superb.
12789,도대체 무슨 이야기를 하고자 하는건지 이해가 안된다. 마지막 장면은 또 뭐고? 해설집 가져다 놓고 영화봐야 하는겨?,What story is this even trying to tell? And what was that last scene? Am I supposed to watch with a commentary booklet?
12828,누구나 결말을 알 수 있는 이야기. 그럼에도 감동을 주는 이야기.이것이 헐리우드다..,A story whose ending everyone knows — that still moves you. That's Hollywood..
13004,마지막 와즈다가 저전거를 타고 질주할때 내 심장도 두근두근 ㅎㅎ 자극적인 영화가 아니였지만 몰입하고 보게 되는 영화,"When Wadjda races off on her bicycle at the end, my heart raced too ㅎㅎ Not a flashy film, but you sink right into it."
13031,"다 좋았다. 줄거리, 구성, 이야기 전개, 캐릭터, 공포감 등만 빼고.","Everything was great. Except the plot, the structure, the pacing, the characters, and the scares."
13068,스토리는 괜찮으나 공포감은 진짜개별로다,Story's okay but the horror is seriously sub-par.
13087,나를 막았던 파도가 내게 탈출구를 가져다 준다. 빗속의 이별은 매디슨카운티의 다리의 어느 장면과 비슷하요이다.,The wave that blocked me brings me my way out. The goodbye in the rain echoes that scene from The Bridges of Madison County.
13244,명작들을 따라하려고 한것은 많이 보이나 그게 단지 따라하는 걸로밖에 안보일 정도로 허술하다 이 영화만의 무엇이 없다 감독으로서는 영 아닌듯,"You can see it imitating the greats — and it only ever looks like imitation. Flimsy, with nothing of its own. Not director material."
13296,"많이 울엇습니다, 어떨땐 슬프고 어떨땐 기쁜","I cried a lot — sad in places, joyful in others."
13305,워.. 저걸 어찌 찍나 할정도로.. 눈사태 스노우보드씬은.. 진짜..ㄷㄷ,Whoa.. how did they even film that.. that avalanche snowboard scene.. seriously..ㄷㄷ
13341,굿 과학적인 결말 아주 맘에 드는듯 외계인이랑 붙어싸웟으면 더노잼 인정,"Good. Scientific ending, very much to my taste — fighting aliens would have made it worse, agreed."
13349,나도 울고 영화도 울고 댓글도 울었다 ㅠㅠ,"I cried, the movie cried, the comments cried ㅠㅠ"
13436,국내 최고 삼류 영화 주연 담당 봉태규甲,Bong Tae-gyu: reigning king of leading roles in Korea's finest third-rate movies.
13466,이거 언제 재개봉하나요??? 또 보고 싶은데 ㅠㅠ 지방에는 개봉안하겠죠 ㅠㅠ,When does this re-release??? I want to see it again ㅠㅠ probably never outside Seoul ㅠㅠ
13604,"따뜻한 의도만 있고 스토리가 없는. 데운 빈 잔 일뿐. 배우,음악,영상이 아깝다","Warm intentions, no story. A warmed-up empty cup. A waste of the cast, music, and visuals."
13748,보다가 두번 울었다.... 이런영화에서 감동을 받다니;; 의외의 수확,Cried twice.... didn't expect feelings from a movie like this;; an unexpected harvest.
13749,헐리웃 블록버스터보다 유쾌하고 통괘하고 심오 오랜만에 너무진지하게 영화봣음.,More delightful and more satisfying than a Hollywood blockbuster — and deeper. First time in ages I watched a film this seriously.
14101,진짜 자고 싶은 로맨스 영화는 처음임. 내용도 없고 진짜. 하아. 왜 봤지?주인공누군지 몰라서 내용이라도 재밌겠지! 했는데 아님 내용도 재미 없음. 진짜 삼류.,"First romance film that made me genuinely sleepy. There's no story. Hah. Why did I watch? Figured 'don't know the leads, at least the plot will be fun!' Nope. Truly third-rate."
14127,호러매니아로서 클라이브바커와 동시대에 살고 있다는게 행복하다..,"As a horror maniac, I'm happy to share an era with Clive Barker.."
14309,그냥 잔잔한 영화. 눈을 떠보니 어느새 엔딩 크레딧이 올라오고 있었다.,Just a quiet little film. I opened my eyes and the credits were rolling.
14427,어린시절 방영시작 전에 두근두근 가슴 설레게 만든 최고의 애니,The anime that made my heart pound before every episode as a kid — the best.
14442,뭐가 쓰레기라는 건지...사랑에 관한 시선도 좋았고 영상미가 엄청난 영화였는데.,"How is this 'garbage'... I loved its take on love, and the visuals were stunning."
14492,웃기면서 따뜻한 영화!,Funny AND warm!
15222,정말 막장드라마 짜증나네요 싸우고 소리질러대고 재미를 모르겠씀,"Trash-drama nonsense, so irritating. Everyone fighting and screaming — where's the fun?"
15262,어디론가 다녀온 듯한 여운,An afterglow like coming back from somewhere far away.
15361,돌고래편은 감동인데 예전만큼의 재미는없는듯.. 제작진 출연진 모두 더 분발하셨으면..화이팅,"The dolphin episode was moving, but it's not as fun as it used to be.. cast and crew, please step it up.. fighting!"
15731,개노잼임 .. 막장드라마,Mega zero-fun .. trash-drama stuff.
15809,와타나베 켄 연기에 보는 나까지 눈물남 ㅠㅠ 밥먹다 우는장면 보고 울컥했다 진짜,"Ken Watanabe's acting had ME in tears ㅠㅠ that scene where he breaks down crying over a meal — I lost it, for real."
15834,뭐 단편 영화가 많이 나온다만 내가알기로는 이거 극장판 아닌데 그리고 내용이 개허접 원피스가 좋다지만 이건 아니다,"Lots of short films out there, but this isn't even theatrical-quality. The story is mega shoddy. I love One Piece, but no."
15861,이 영화본지 꽤 지났지만 아직도 분하다 내 인생 최악쓰레기 영화,It's been ages since I saw this and I'm still mad. The worst trash film of my life.
15880,내가 소설을 보면서 머리속으로 생각한거보다 훨씬 아닌데... 미국에서 다시 만들어야됌,So far below what I pictured while reading the novel... America needs to remake this.
16010,하아.... 오늘 좀 슬펏음... 씩씩하게 살아가려는 한다진.....화이팅!,"Haa.... today got to me... Han Da-jin, trying to live brave..... fighting!"
16057,최악 최악 이런 영화 처음이네요~,"The worst, the worst. First movie like this ever~"
16111,거 되게 무섭네 아직도 소름이 돋는,"Damn, that's scary. I still have goosebumps."
16164,시즌1 핵꿀잼. 시즌2 핵노잼.,Season 1: nuclear-grade fun. Season 2: nuclear-grade boring.
16204,"""""""이영화 진짜 별로임 -_- 하나 명대사 빼고 다 -_- """"""""행복은 성적순이 아니잖아요""""""""""""""",This movie is honestly meh -_- everything except the one famous line -_- 'Happiness isn't ranked by grades.'
16215,"역시 네이버 평점은 믿을게 못된다, 2점 주는애들은 정말... 개독 싫어하지만 꼭 개독이 아니라도 좋은영화다..","Once again Naver ratings can't be trusted. The people giving 2s... I'm no fan of churchy stuff, but you don't have to be religious to see this is a good film.."
16228,한장면한장면이 예술이다 .,Every single frame is art.
16419,많이 실망적이였어요...다른짱구 영화들보다 재미도덜했고..물론 지극히 개인적인겁니다..,"Pretty disappointed... less fun than the other Shin-chan movies.. just my personal take, of course.."
16532,여자지만 홍영수 같은 대원 있으면 진심 짜증나고 난감할듯... 정철민 병장의 마음이 이해감,"I'm a woman, and honestly a squadmate like Hong Yeong-su would drive me up the wall... I completely get Sergeant Jeong Cheol-min."
16572,쓰레기 한국영화 대작이라 소개하는 3g영화보다 그래픽 좋다 ㅋㅋ,Better graphics than those 3G 'masterpieces' of trashy Korean cinema ㅋㅋ
16609,뛰어난 영상미와 훌륭한 서사 특히 영상적 연출에서는 정말 경의를 표할 수 밖에 없다.,Exceptional visuals and storytelling — the visual direction alone deserves a salute.
16830,강렬한 충격. 아름다울만치 애절한 울림. 깊은 상징성. 올해 본 최고의 걸작,A jolt of pure intensity. An ache so beautiful it rings. Deep symbolism. Best film I've seen this year.
17069,"인도영화는 역시!!! 스토리, 영상, 배우들의 연기까지 뭐하나 빠지는거없이 꽉찬 영화!! 대박 감동~ㅠㅠ","Indian cinema delivers again!!! Story, visuals, performances — not one weak link!! Daebak, so moving ~ㅠㅠ"
17110,와 ㅋㅋ 대박 ㅋㅋ 공포영화가 겁나 안무섭고 지루해 ㅋㅋㅋ 분신사바 2도 개졸작인데 이건 더 심하네 ㅋㅋㅋ,Wow ㅋㅋ daebak ㅋㅋ a horror movie this unscary and boring ㅋㅋㅋ Bunshinsaba 2 was already a dud and this is worse ㅋㅋㅋ
17129,어쩐지 사람이 없더라... 완전 저질영화.. 돈과 시간이 아까워ㅠㅠ,No wonder the theater was empty... total low-grade movie.. my money and my time ㅠㅠ
17432,이게 뭐지싶은 영화 기억에 남지 않을,One of those 'what was that?' films. Won't be remembered.
17766,잘 만들었으면 대박은 안되더라도 중박 정도는 거뒀을 애니메이션...,"If they'd made it properly, it could have been at least a mid-size hit..."
17799,결말만 완벽했으면 시청률집어치우고 명작이되었을껀뎅..,"If only the ending had held up, forget ratings — it would have been a classic.."
17843,하악 두근두근대는데 이영화 보고싶당,Gahh my heart's already racing — I want to see this so badly.
17875,"긴장감 ㄷㄷ 옛날에 중국에서 이런인신매매가 많았다는데.... 근데 이영환좀 지루,,","The tension ㄷㄷ apparently human trafficking like this really happened in China back then.... the movie drags a bit though,,"
17928,이게이게 멉니까? 드래곤워리어는 전세계를 배경으로해서 완전 헐리우드 액션블록버스터감이였는데 이건뭐... 케로로계의 7광구? 감독이 케로로를 접을려고한건지참!ㅡㅡ,"What IS this? Dragon Warrior had whole-world, full Hollywood-blockbuster scale, and this is... the Sector 7 of the Keroro universe? Was the director trying to kill the franchise?!ㅡㅡ"
18449,진짜 보다가 나온 영화는 이 영화가 처음입니다 미국주법이나 운영체재 이런거 공부하려는거 아님 보지 마세요,"First movie I ever walked out of. Unless you're studying US state law or government, don't bother."
18673,소통할 수 없고 외로울 수밖에 없는 관계 속에서 얽히고 설킨 우리들의 이야기. 까락스 3부작 중 가장 난해하지만 가장 오래 기억된다,A story of people tangled together in relationships where no one can connect and everyone is lonely. The most difficult of the Carax trilogy — and the one that stays longest.
19120,내 생애 최고의 코미디 영화 감동도 찐하게 오고 .. 가족을 생각할수있는계기였다.,The best comedy of my life — with real heart. It got me thinking about family.
19317,도저히 이해안되는 남자의 행동으로 2/3를 끌고 가놓고.. 막판에 다 풀어보시겠다?,Two-thirds of the film is a man behaving incomprehensibly.. and then you'll explain it all at the end?
19347,김지훈 감독... 어설픈 헐리우드식 따라쟁이 감독,Director Kim Ji-hoon... a clumsy Hollywood copycat.
19423,떡밥만 뿌리다 그냥 끝. 시나리오도 이상하고 구성도 엉성하고 여운도 없다. 풍경이 이뻐서 그나마 참고봄 영화관 나오면서 오랜만에 화가났네요,"All bait, no payoff. Weird script, flimsy structure, no afterglow. The scenery is pretty — that's the only reason I made it through. Left the theater actually angry."
19728,여운이 남고 생각하게하는영화 모든사람에게보여주고싶은 영화다!! 10점이모자람,A film that lingers and makes you think — I'd show it to everyone!! Ten points isn't enough.
19748,보는내내 흥을 주체하느라 힘들었어요 ㅠ ㅠ 콘서트마냥 같이 뛰고 소리지르고싶은 욕구가 마구마구.. ㅎㅎㅎ 무튼 또보러갈까 생각중입니다 !,Could barely contain myself the whole way ㅠ ㅠ wanted to jump and scream like at a concert.. ㅎㅎㅎ honestly thinking about going again!
19805,수십번봐도 두근두근.. 내영원한첫사랑 영화.,"Dozens of rewatches, heart still pounding.. my eternal first-love movie."
19863,배우 연기는 좋은데 시나리오는 그닥ㅋㅋㅋ 어중간함ㅋㅋㅋ,The acting's fine but the script ㅋㅋㅋ so middling ㅋㅋㅋ
19894,전쟁으로 겪는 이별과 죽음의 경계에서 가지게되는 희망적 메세지.,A message of hope from the border between parting and death in wartime.
19946,진심 노잼;보지마라 시간아깝다,"Honestly zero fun; don't watch, it's a waste of time."
20106,두근두근 내 세금 돌리도^^,'Thump-Thump My Taxes' — give them back ^^
20254,이런 개 삼류 전설의고향 할리웃이냐,"What is this, a third-rate Hometown-of-Legends Hollywood?"
20378,제프 벡을 좋아하는 팬들이라면 정말 강추~ CD나 DVD와는 차원이 다르다!,"If you love Jeff Beck, run don't walk~ a different dimension from any CD or DVD!"
