id,text,label
51,For Carl.칼 세이건으로 시작해서 칼 세이건으로 끝난다.,1
52,미사어구로 포장말고 느낌그대로를 말하자.나의 시간과 인내와 정열을 고갈시켰다.,0
53,"최고의 영화, 내가 스릴러와 액션을 좋아하게 된건 이 영화를 보고 나서부터인것 같다. 다른영화와는 비교할수 없는 내용. 본 시리즈는 나를 실망시키지 않는 명작이다.",1
54,어째 코난 극장판은 햇수를 거듭하고 시대가 발전할수록 점점 퇴보하는듯.. 이번 극장판도 정말 실망스럽기 짝이없네.. 이게 대체 추리만화인지 공상과학 만화인지; 진짜 예전께 재밌었다 10기까진 볼만 했는데 그이후로 왜이렇게 졸작들만 나오는지 모르겠네,0
55,영화는 그저 허무했고 예고편은 사기였다 그런걸 반전이라고 하는 건가?,0
56,감동!!!,1
57,최고의 시트콤!!! 마지막회장면.. 아직도슬프다ㅠ,1
58,지금까지 본 드라마중에서 제일재미있었음,1
59,드라마 아주 잘 보고있어요! 유진님이랑 이정진님 정말 선남선녀같아요! ♥ 앞으로도 본방사수!!!,1
60,주제 신선하고 재밌게 봤음 ㅋ,1
61,발연기쩔어요 드라마보다 빵터졌네ㅋㅋ국어책을 읽어도 그것보단 낳을텐데,0
62,인간 괴물의 일대기를 그린 영화. 볼 만함.,1
63,정의가 부정되던 시대상을 정말 신랄하게 풍자했군요....이런 영화를 지금이라도 본것을 감사히 여깁니다. 부모의 자식사랑은 그 어떤것보다 아름답습니다 박정희에게 참 오래하셨습니다..전두환에게 머리길으면 다시오겠습니다..정말재밌네요,1
64,;;;나만별로였나 평점이높네요,0
65,부산국제영화제에서 인상깊게 봤는데 어른들이 봐도 좋은거 같아요^^,1
66,재미.....................하나두없다...스토리자체가 지루,0
67,고인에 대한 모독같아 보이는 영화나오미 왓츠는 정말 많은 부분에서 다이애나를 담아내위하여 노력하였으나 다이애나 왕세자비의 감정을 이끌어내기엔 다소 영화 스토리 등 부족한 것이 많은듯,0
68,암울하지만 남매의 멈추지 않는 여정은 가슴저린 희망이었다.,1
69,너무나 현실적이라 끔찍하다. 왜 핵이 떨어졌는지 무장한 놈들이 누군지 안밝혀졌다고 재미없다고 하는 애들은... 그냥 어벤져스같은거나 봐라. 감독 의도가 뭔지 모르겠나.. 물론 나도 어벤져스 좋아함,1
70,평론가별점왜저꼬라지ㅋㅋㅋ,1
71,귀여운 캐릭터가 너무 많아서 눈이 즐거웠던 작품 !!,1
72,그땐 킬킬 거리며 본 영화. 지금은 유치해서 못 봐줄 영화.,0
73,삶의 활력소..,1
74,안성기 목소리 왜케 조음ㅜㅜ♥,1
75,게임하자...제발..,0
76,이거 볼 시간에 똥싸는게 더 낫다.,0
77,명작에 누를 끼치는 속편,0
78,넘 재미있게 보고 있어요.허나 김용건님이 나오면서 너우old 해진 느낌 정식 맴버는 반대!!!,1
79,"여운은 개뿔,, 줫도 재미없다 어설픈 사투리만 죄다 늘어놓고,, 진짜,진짜,진~짜 할일 없을때나 보세요",0
80,평점을 내릴필요가있다,0
81,형편없는 요소만 모아 만든 영화.,0
82,포스터 다시보니까 옆동석 얼짱동석 정면동석 이네 배우빨로 손익분기점 적당히 맞춰 지갑좀 두둑히 챙기고 먹튀하려는 배급사 안절부절 제꿈을 볶아먹는 감독들의 감독이 맞나싶지만 그 잉여력을 매년 분기별로 잊지않게끔 깨우치라고 던져준 영화,0
83,마음이 따뜻해지는 영화 :),1
84,그 때의 시선으론 막장세상이었겠지..,0
85,문!도!!!! 가는데로 간다아!!!!!,1
86,기대안했는데 좋았어요 김강우씨 연기 정말 대단.음악도 좋고~오랜만에 좋은영화 본듯,1
87,간만에 보는 쓰레기 한편...,0
88,잼있기만 하더마;;_-,1
89,평점을 안줄수가 없다 ㅋㅋ 감독이 진짜 싸이코패스인듯,1
90,조승우와 수애의 연기력에 눈물 좀 흘렸네요.. 잘 봤습니다.,1
91,베토벤을 바보로 만들어 놨네 웅장함 그 어떤 것도 없다,0
92,영상미와 음악만으로도 이미 만점.,1
93,이거 은근히 재밌어요!,1
94,모히토 생각나는 영화!,1
95,반성의 기미가 조금 보인다. 당시 실상도 나름대로 잘 묘사했슴.,1
96,제가 본 애니메이션 영화중에 명작입니다,1
97,참고 여기까지 봤는데...아 속터져 죽을것 같다.. 전개라도 좀 빨리 진행했으면....,0
98,유치하고 억지스러움....그나마 배우들이 살린 영화,0
99,진짜 더파이팅보다 훨씬 재미있었습니다. 결말이 정말 감동적이었습니다.,1
100,아이와 재미있게 관람했어요,1
101,시끄럽다.,0
102,거의 영화수준이 파워레인저급.. 크로노스의 위엄은 어디가고.. 임팩트있는 부분이라고는 찾아볼수없는영화,0
103,혼자걷는시간이 필요하다. 그리고 알게되는것들에 대해 생각할수있었음,1
104,헐퀴 이딴게영화라니,1
105,"추억의 재난 영화..,,",0
106,정말로 정말로 내 생애 최악의 영화,0
107,"아름다운 풍경과 배경음악, 평범한 사람들..",1
108,연기는 잘하는데 스토리가 보면 기분이 나빠진다.,0
109,지루하다..뻔한스토리..전편이 훨씬 괜찮은것 같다..,0
110,"에로 영화에서 제일 중요한게 아무래도 러브씬의 몰입도일텐데 그동안 본 어떤 에로영화보다 쵝오다 개잘만들었다 이거ㅋ 그리고 전반적인 스토리라인, 즉 걍 막해대는 식이 아닌 개연성있는 떡진행이 몰입도를 더욱 높인다 차기작 개기대댐ㅋ",1
111,그리 재밌지 않고 지루하긴 함. 중국을 위한 영화라고 느껴짐,0
112,이비상이 그비상이 아니었음 아 1시간반동안 뭐한건지,0
113,진짜 재미없음.... 배우들이 아까운 영화,0
114,이영화보고 불면증이 있던제가 잠을잤어요 짱이에요,0
115,다시 봐도 질리지 않고 감탄하게 되는 영화,1
116,너무나 좋은 영화입니다 캐스팅이 어떻게 이렇게 가능했을지 납득이 되네요,1
117,여운이 길고 길다,1
118,"아랍 쪽, 뉴스에 나온것들, 다 풀어놨네 에에에 ㅋ ㅋ",1
119,"아바타보다 생생한 3D, 결코 그 어떤 아바타로도 재현될 수 없는 휘성의 완벽한 무대.",1
120,천사와 산타가 실존한다고 믿는 미국인들이나 좋아할 영화... 이제 어른들은 아이들에게 '만화 많이 보면 머리나빠진다!' 라는 말을 할 수 없는 시대가 온 듯.,0
121,명개남이는 복도 많아..,0
122,SF최고의 명작 이벤트호라이즌과 비교를 하는 사람이 있다니...A급을 C급에 운운하는 우를 범하지맙시다.,0
123,달달하니 너무 너무 좋았어요 군대가 가기전에 좋은 영화보고 가요ㅠㅠ,1
124,항공사에대해서 새롭게 알게됬고 소소한재미와 감동까지,1
125,20년만에 다시보는 애니... 나이먹고 보니 더 재미가 있네요,1
126,짱 재밌습니다.^^^,1
127,전작보다는 덜하지만 그래도 재미는있다 무엇보다 지단 베컴 라울 호나우두 살가도 등등 레알선수들이나와서좋다,1
128,달튼이 007을 맡아 약간 어색하지만 액션씬은 굿,1
129,이런 영화들을 많이 만들어줬음 좋겠습니다 마지막이 뭉클합니다,1
130,언더우드의 역시 최고다 ㅋㅋㅋ,1
131,"팩트,설정,시나리오,편집,특수효과,소품,배경,억지배경까지..정말이지 너무한다",0
132,뻔한맛에 본다지만 뻔하다 못해 뻔뻔하기 까지 하다,0
133,목적에 충실한 어떤 것.,0
134,성룡보다는 악당두목 황인식의 발차기가 놀라웠던 영화,1
135,지금 하지못하면 앞으로 영원히 못합니다. 당장 시작하시길,1
136,음 나름 깊이 있게 본 김기덕 작품,1
137,2006 언노운 .. 낚였어 .,0
138,마음이 아팠다. 보고 또 봐도 같은 마음뿐이다.,1
139,아 진짜 좋다 마지막에 아내랑 딸이랑 셋이서 안을때 울컥했음,1
140,기대안하고 봤는데 배우들 연기도 좋고 소재도 좋았음~!,1
141,재밌다! 에로영화가 나아가야 할 방향을 제시해주는작품이랄까,1
142,귀엽고 순수한 버디. 나홀로 집에 다음으로 최고의 크리스마스 영화 인 듯 싶다.,1
143,역시 박정철은 멋지다.연기력도 굿!!!!!!!!!!!!!!!!!!!!!!!!!,1
144,쯧쯧..좋은 배우와 요절한 좋은 가수와의 옳지않은 만남.제목은 거창하다,0
145,월화만 기다렸는데 이제모하죠...ㅠ,1
146,여자 걸그룹이 이쁨,1
147,낚여서 본 기분. 할말이없다,0
148,괜찮아요~^^,1
149,이런거좀 안 만들었으면 좋겠다. 이걸 누구 보라고 만든건지. 초반부터 공감 하나도 안되고 . 갈수록 내용도 모르겠고. 있는척만 하는영화.,0
150,기대도 안하고 봤는데 정말 재밌네여~^^ 재방송으로라도 다시 해줬음 좋겠당....,1
151,애들이 말 안들을때 Shut Up~~~~~~~~~!!!!,1
152,아웃사이더들의 최후의 보루! 하지만 유쾌하다.,1
153,이것도 어릴 적에 보던건데. 정말 재밌었다.,1
154,머이딴게..@#$@#!,0
155,일침류 갑. 과연 합리적 신앙이란?,1
156,네가 깍는다.임마ㅋㅋㅋ,0
157,평점에 속았지... 완전 쓰레기 ㅋㅋ,0
158,"완전실망.소재도 저질, 재미도 없고..내시간을 돌리도~",0
159,진짜 이런 이야기를 쓰고 싶다..허큘리스,1
160,충무공께 사과해라,0
161,우리는 이 영화에 이런 진지함을 원하지 않았다. ㅡㅡ;,0
162,안봐서 잘 모르겠다...,0
163,헐리우드도 우리도 다 미쳤어.영화 소재가 바닥나긴 났나 보다.,0
164,마지막에 안심하라는 듯이 싱긋웃는 모습과 대사가 너무나 멋졌습니다.최고!!!,1
165,평론가 네이놈들!! 평점이 어찌 그따위냐?,1
166,너무 심오하게 만들었어,0
167,이렇게 하면 관심 받을거라 생각했어 한 관심병자의 볼만한 최후,1
168,손태영만 안 나 왔다면 5점은 줬을 것이다!,0
169,빠른 전개로 몰입하고 봤어요. 박하선씨는 연기 많이 느신 것 같아요~ 최지우 권상우씨 케미 폭발ㅎㅎ,1
170,"와 역시 슈퍼 스타의 영화, 반전 짱",1
171,어릴때재밌게봤는데 제목이기억안났던ㅠ 이거였구나ㅠㅜ,1
172,마지막에 가족들과 영상통화하면서 펑펑울었다..정말 보고나서 가슴이 따뜻해지는 영화이면서 또 한편으로 지금의 인류에게 교훈을 주는 감동적인 영화이다. :),1
173,스키모토 아야 더늙기전에 많은작품을 남겨야할텐데,1
174,"정말 놀랐다 1,2,3편 연달아 이다지도 훌륭할 수 있다니~",1
175,하 진짜 호준이 때문에 2점 준다.,0
176,이승기 고생했겠네? 아이고 저런~,1
177,킬링타임두 적합하지않구..스릴러같지가 않았다. 심리스릴러라지만 이건좀아니다,0
178,성우도그렇고 내용도유치하네,0
179,ㅋㅋ 고수 도마뱀드립할떄 솔직히웃겼다,0
180,코미디인지 공포물인지 ㅡㅡ,0
181,내 생에 가장최악의 영화.. 연기 잘하는 사람들 데려다 놓고 변태영화를 만드네 ㅡㅡ,0
182,디비디언제나옴...,1
183,탱크로 날줄은 상상도 못했닼ㅋㅋ,1
184,"뱀이 이렇게 무스울줄은,잼썼음",1
185,굉장이 재밌어졌다 새로운 인물들이 많아서 좋다,1
186,초딩들이 평점매기냐..... 별 내용없고 그냥 킬링타임 눈요기용,0
187,나오미왓츠는 왜 이런영화에ㅡㅡ 아무리영화라지만 .. 참 아무렇지않게 서로를이해하다니..최악오브최악,0
188,이중인격을 잘 나타냇다 그러나 공포스럽지가 않앗음 -3 게다가 내용이 너무 어려움 -3 걍 배우빨인듯 하다 -1,0
189,그녕본다그냥보고있다그냥봤다,1
190,지금까지 본 영화중에 최악임,0
191,완전 내 스타일 영화!!!,1
192,제목에 적이라고 한것때문에 스토리전부가 뒤죽박죽이고 밑도끝도 없게 되고 현대판 배달의 기수가 된 영화. 결국 마지막 장면은 적도 아니고 동침도 아니고 코메디도 아니고 감동도 아니고 장난도..뭐라 표현할 말이 없네.,0
193,요즘들어 이드라마 재미없어요 중간쯤 가다가 막장으로 가요ㅈㅏ꾸 드라마 빨리끝나고 다른거 했으면 좋겠어요,0
194,별명이 계몽녀라 계몽영화보고싶다. ㅎㅎ,1
195,대체적으로 무난하고 적당한 스토리와 영상미였는데 감정이입이 안되네 거 희한하네,0
196,위대한 참치 사냥꾼이 바다 따위에 지다니....!!!,0
197,아이들이 좋아했어요. 잘 봤습니다~~,1
198,영화 도둑들이나 뫼비우스 하고 같은 나라에서 만들어졌다는게 믿어지냐..?,0
199,"그냥 불쾌하기만 했던 영화,,",0
200,아 진짜 그지같은... 짜증나서 못보겠다 나레이션 소리가 들려야말이지 내용도 없고,0
201,돈아까워서봤다..,0
202,일베들ㅋㅋ 어휴노답이네,1
203,"마음 아픈 가족사.장대하고 처절하며,거의 공상과학영화수준의삶을 사는 그녀의오빠들인생의 비일상의수준이,워쇼스키남매의/매트릭스/나,리들리 스코트의/블레이드 러너/수준이다.역시 사람은 부모를 잘 만나야~퍽,퍼억,(웃음)오죽하면,동토의왕국~이념이 밥먹여주냐?",1
204,내가 본 공포영화 중에 최악 =_=,0
205,아니 도대체 이거 어디서함 보려는데 찾을수가없네 극장상영끝낫나요??? 아니면 어디극장만하나요????,1
206,고양이가 너무 못생김..,0
207,21년동안 본 영화중 최악!,0
208,진저 얼굴짱 몸짱!! 진짜 예쁨!,0
209,다 필요없고 해피엔딩 굿bbbb,1
210,잘나가다가 제3자가 사건마무리;,0
211,꼭 이런 눈물 동정 영화는 평점 좋게 주더라 영화로써 재미는 별 2개도 아깝구만,0
212,너무 감동적인 영화에요ㅠㅠ,1
213,아이돌들 나와서 개졸작생각했는데 4편다 재밌음 3편이랑 4편 마무리는 애매하게 끝나서 좀 아쉽,1
214,틈새 상품.,0
215,간만에 너무나 좋은 프로그램입니다 ~ 많은걸 느끼고자신을 돌아보게 만드는 리얼 예능이었습니다♡♡ 남겨진 전우들도 힘내시고 멋진 부사관되십쇼~ 충성,1
216,이게 웃기냐? 완전 스토리 엉성하고 내용연관성도 없고 에라이 돈아까워,0
217,장혁. 오연서. 이하늬 다들 정말 연기 잘하네요. 이하늬씨 특히 이번에 맡은역 정말 잘하시는듯. 드라마 정말 재미있어요☆,1
218,재미있다!,1
219,재밋게시작해서 완전개판오분전이네ㅡㅡ 한재석은 완전 이용해먹고 결말진짜똥이다 보는시간이아깝네,0
220,'주온 탄생 10주년' 기념판이 이렇다니 실망이군요.,0
221,다시봐도 재미있군ㅡ 구숙정과 양채니는 역시 이쁘구나ㅡ,1
222,이거 명작이네요 교수님이 추천해줘서 본건데..재밌게 잘 봤습니다.,1
223,미스터 빈 팬입니다! 은퇴하지마세요,1
224,킹오파 영화랑 이거랑 비교해봐라 이게 훨씬 명작이다,1
225,"몰입불가능한, 전형적인 등장인물, 별 고민의 흔적이 없는 상황전개...독립영화라 그렇다 하기엔...담에 좀 더 좋은 작품 기대할게요",0
226,빅재미 큰웃음은 없는,0
227,스토리 별로 화면 디테일 부족 너무 꾸민 액션,0
228,아휴....,0
229,"복수는 기껏해야 적과 대등해지는 것이라고 하지만, 복수 후에 용서해도 늦지 않을 것이다.",0
230,쓰레ㅐ기영화 전작에 제대로먹칠,0
231,이야기 한마디 한마디에 의미가 있어서 좋았습니다.,1
232,중간에 끌까말까를 고민하게 한 영화...,0
233,정말재미없네요 30분만에 끝나서혹시나했더니내용도없구 정말돈주고본게아까울정·도입니다,0
234,이거진짜 대박이네;여태까지 살면서 나에게 실수했던 사람들이 생각난다.다 그사람들도 이유가 있어서 그랬겠지?,1
235,간만의 얼라영화 조엘리 피셔의 재발견,0
236,"최악의 드라마.. 연출과 대본도 그렇지만... 한가인, 김정훈, 전혜빈의 어색한연기...",0
237,장라공 설도현 진짜 부족한 배우들. 특히 장라공은 생긴거나 연기하는거나 절대 안티히어로가 될수없는 재목인듯.ㅡㅡ 글고 설도현인가 걔보단 한윤찬이 훨낫당.,0
238,대한민국 무협영화중 수작!,1
239,아 XX진짜 로그인 하게 만드네 최악 보지마라 절대,0
240,잘만든 영화 꼭 더빙땜에 망해..ㅋㅋㅋㅋㅋㅋ,0
241,재미없다..재미없다,0
242,진짜 인상깊은 영화였다 아이맥스나 4dx로 극장에서 다시 한번 보고싶다,1
243,화려한 볼거리속 들여다보면 무언가를 표현하는건지 의도를 알수없는 영화..,0
244,영화 완성도는 그다지 높은거 같지는 않음.,0
245,피프에서 봣어요.. 맨마지막 얘기가 가장 인상깊네요 첫번째두번째얘긴 뭔말인지잘..,1
246,가수는 브라운관에서 무대위에서 보고싶다.,0
247,넬 베드워스 사랑해요,1
248,정말 쩐다 쩔어;,1
249,그냥 쩐다 말이안나온다ㅜㅜ,1
250,별반개도 아깝다,0
251,지구에 미국밖에 없나 본격 러시아 까는 영화,0
252,골때려요 실화 배경이라니 더 유쾌하네요,1
253,재미 드럽게 없다ㅋㅋㅋ,0
254,여기에 견줄건 없음.,1
255,국어 시간에 보려줬는대 좀 만이 지루함.,0
256,이영화보고 영화결핍증 걸렸다ㅡㅡ;;,0
257,깨물어주고싶은 잉마르 ㅋㅋ 웃을때 너무 귀여워,1
258,시도는 좋았으나 이건 아니자나 !,0
259,많이 느끼고 또 그와중에 동화됐구요..저는 좋아요 ^^ 평범함속에 소중함,1
260,"그냥 인피니트 실력도 있고 연기도 잘하고 해서 진심좋음(하트)인성도좋고, 인사성도바르고,그냥 다좋음ㅇㅇ!!!",1
261,나만 당할순 없다.... o(｀ω´ )o,1
262,"정작 힙합도 별로 안나오고, 결말도 이상하고, 여주인공만 볼만함~",0
263,스토리 전개가 너무 엉성하고 연기도 색다를게 없다 엉성한 코믹은 극의 흐름을 망해만 한다,0
264,재미도 없고 유치하고 초딩용 영환데 왜이렇게 평점이높아,0
265,가장 큰 반전은 포스터와 영화 내용의 차이,0
266,어쩔수 없는 입자이라치고 남자나오는 영화는 남자들 다 죽거나 처벌받는데 영화에서도 남녀 차별질이네 처벌 받는 거 왜 안나오냐 모성애는 개뿔,0
267,본것 같기도 하고 안본것 같기도 하고 기억속에서 지웠나보다,0
268,김하늘이 하지원보다 더 잘나가던 때... 고삼 정말로 좋아 했던 여자와 함께 극장에서 본 추억의 영화 아니 나에게는 어제 처럼 선명히 기억되는 영화.. 잘 살겠지...,1
269,"정말이지 여운이 많이 남는 영화,다시는 이런 느낌을 받지못할 것 같다",1
270,전혀 기대 안하고 봤지만 정말 재미없더라. 그래픽은 좋은데 제작비로 불우이웃하고 발닦고 잠이나 잤으면 세상에 더 보탬이 됐을듯. 후속작이랍시고 나올까 겁나네...한마디로 개망작. 영화에 대해 모르지만 공짜로 보고 있어도 시간아깝고 지루하더라.,0
271,어휴....이것도 공포영화라고 만들었나...,0
272,너무 비현실적이긴 하지만. 한 6개월 감금상태라면 몰라도 평소 사회에 불만있는 정신병자 아닌 정상인이라면 1주일만에 저렇게 되진 않는다고 확신한다.,0
273,대박! 잼나네요...이 드라마때매 주말이 또 기다리짐..근데 넘늦은시간이여요..그래도 봐야지,1
274,투견 소리만 들어도 토나옴..,0
275,NG장면보니 일일시트콤 똑같네요,1
276,마지막에 죽은줄 알았던 미친장애아가 다시 살아나는 질질거리는 것이 완전 짜증 났다,0
277,드디어 끝났구나. 너무 재밌게 잘 봤어요. 도진후♡은정수 완전 기여운 커플,1
278,재미있당~,1
279,제목이 이기 머꼬? ㅠㅠ,0
280,콘에어가답습하고간듯제임스케그니아!,1
281,너무 감명적이고 꼭 사랑을 하는연인들에게 권하고 싶다.,1
282,OO바보천치 주인공들때문에 화병나는 영화OO들만 모아논영화,0
283,이 영화가 흥행한뒤로 남은게 뭐가있는가??,0
284,어렸을적에 진짜 재밌게 봤는데..다시 보고싶은데 볼 수 있는데 없을까요?ㅠㅠ,1
285,아놀드형님 빨로 본 영화.. 극장가서 미드보는줄,0
286,설마하다가 아놔! 아놔!! 두번하는 영화.,0
287,아내의 유혹은 복수하는 재미로 봤는데 이건 복수도 없고 재미도 없고...,0
288,슬프네요~액션이 별로 없습니다,0
289,감독은 제발 다른일 알아봐라 제발 부탁이다 한국영화를 위해서라도,0
290,이연걸형님이 나온 영화 중에 top3안에 들어간다!!! 최고,1
291,"지루한 스토리에, 뻔한 전개 재미없음. 그저 귀여운 포켓몬을 감상하려고 한다면 추천",0
292,후반부가 너무 몰아친것같은 느낌이다 용두사미의 전형적인 예,0
293,다시보니훌륭한영화다,1
294,리얼을 가장한 고딩용 범죄스릴러,0
295,내가본 예능중에 제일 최악이였어요. 분량배분도못하고 mc분들 횡설수설하는것도다보이고 수위조절못하고 똑같은 이야기만 반이상하고 이럴꺼면 나머지 게스트분들은 왜불렀습니까?하... 얼마나 답답하면 내가 평점을쓰고있노,0
296,볼거리도 많고 재밌더만..,1
297,이 영와 재미있네요.. 역시 무술영화,1
298,너무 재미있어요~남자 주인공이 특히 멋있었어요,1
299,이건 영화가 아니라 공부용인듯.... ㅋㅋ 많이 알게 되어서 좋았음.,1
300,자막으로는 영화를 이해하기가 힘들 듯... 아름다운 브뤼주!!!,0
301,보면 후회함@!,0
302,너무 그러지들 마라. 영화찍은 사시미 깡패가 조양은 말고 누가 있냐,0
303,주술사가 나올때부터 망가지기 시작한 영화.,0
304,"소재는 특이 했지만 전혀 무섭지 않고 재미도 없고, 공포영화라고 부르기도 뭐하다.",0
305,스피디한 전개로 지루할 틈은 없지만 이야기가 너무 허술하군,0
306,그럭저럭 볼만함,1
307,최고임! 너무 너무 너무 재미 남!,1
308,너무 재미있게 잘봤었어요.이거 보고 의사라는 장래희망이 생겼다는;;,1
309,"소오강호의 본 스토리에 크게 어긋났을 뿐만 아니라, 영호충이라는 바보는 자신의 실수로 집안을 하나 멸망시키고도 미안함 하나 없이 스토리를 쭉 진행하는군. 원작은 10점 짜리인데 이건 사실 1점도 아깝다.",0
310,모처럼 잼나게 보네요^^못난이 주의보도 그랬던 것처럼 좋은 작품이 시청률과 상관이ㅠ ㅠ,1
311,"볼만, 다만 의사가 죽는대도 애 놓다니...",0
312,무슨사람이 종이작도아니고 뭐이리 쉽게 찢어지냐,0
313,쓰레기다 이런 쓰레기 영화보지 말고 미야자키 하야오 작품이나 보자.,0
314,정말 나더러 어쩌라는 건지 알 수가 없다,0
315,"악역도 인상적이고, 전투도 황홀한 영화.",1
316,종교적인걸 떠나서 그냥 쓰레기 영화.,0
317,자막때메 1점뺀다 초딩이썻나봐...,1
318,인생 한낮 꿈에 지나지 않나...,1
